Gene.symbol	Gene.ID	adj.P.Val	logFC
ITSN2	50618	6.72183853868471e-25	-1.37640071815663
PGBD1	84547	6.85751765623422e-25	1.18877831045772
KIAA1109	84162	6.86222591040184e-25	-1.20095000084445
FAM65B	9750	6.88085428602631e-25	-3.45463415080351
FBXO5	26271	7.4755429363547e-25	2.3228885019122
HIST1H2AH	85235	7.93196174291403e-25	2.47346447779582
TIMELESS	8914	8.00849222960728e-25	2.49356463877579
ICAM3	3385	8.33637682146117e-25	-2.85253533818058
HLTF	6596	8.95308403971749e-25	2.34170255695298
NET1	10276	1.08359180379836e-24	1.97562582366333
SLC1A5	6510	1.11702550860998e-24	2.10633752106222
ECT2	1894	1.15882274477491e-24	2.38065126998909
RGS2	5997	1.21150059594204e-24	-4.18756872540174
BTD	686	1.30980964858328e-24	-1.06982508603236
EHD1	10938	1.36464114729537e-24	-1.52714817837904
HSPD1	3329	1.38203407991291e-24	1.63248497974612
CYLD	1540	1.47539449164044e-24	-2.00254542067924
CEP152	22995	1.48705666883142e-24	1.71336294340497
SGSH	6448	1.51912713930337e-24	-1.90202762196603
SEH1L	81929	1.51912713930337e-24	1.84685373845467
SNRPD1	6632	1.66827590565788e-24	2.20844062480655
ZNF788	388507	1.78596824079769e-24	1.97905038755677
POU2F2	5452	1.914412732064e-24	-1.30508838711479
		1.93073853662882e-24	1.00071427728536
MAST3	23031	2.08053042367746e-24	-1.58310638112802
NUCKS1	64710	2.08168875795953e-24	1.65864892674361
YARS	8565	2.0886651671158e-24	1.87556182029967
TNFRSF14	8764	2.11871354755277e-24	-1.50507184130699
RIPK3	11035	2.17758661589605e-24	-1.69112274607384
ARHGAP45	23526	2.27841847780157e-24	-1.41826086026068
STK26	51765	2.29066331801291e-24	0.785863247803325
AKTIP	64400	2.72597859113601e-24	-1.98522958389291
ELAVL1	1994	2.76442438705831e-24	0.995609451354012
KIAA1324	57535	2.7714232146722e-24	-2.91060010886304
PIM2	11040	2.83277878026687e-24	-2.47029573335419
SEPHS1	22929	2.89052471815065e-24	1.7421770230413
INCENP	3619	3.21455579680619e-24	1.37539726671178
		3.60740277356014e-24	2.07831772068532
RAD18	56852	3.66978532584995e-24	1.28866626440265
IDS	3423	3.80491934654254e-24	-2.30906489365331
KCTD3	51133	3.90507707460813e-24	2.78354005941212
HIST1H4A	8359	3.95342684136466e-24	2.19427779265957
DHRS12	79758	4.04951563123566e-24	-1.34005897026658
		4.05216791441929e-24	1.31316964645521
ABL1	25	4.16308210719927e-24	1.09747354182245
FBXO33	254170	4.21972943761985e-24	-1.20524991898033
OCM///OCM2	654231///4951	4.58501320493951e-24	-1.07636099737601
GINS4	84296	4.77699118555287e-24	2.15786739279957
PIK3IP1	113791	4.90434495634374e-24	-3.06052250166243
SLC7A1	6541	5.53416551245371e-24	2.00079484765403
HADH	3033	5.57601009570445e-24	1.7958600255818
HERC3	8916	5.73855802655079e-24	-1.44907089083712
FAF1	11124	5.8706243647913e-24	1.21152082175684
FAM72A///FAM72D///FAM72B	729533///728833///653820	5.9282788784818e-24	2.69726711001896
PSMD3	5709	5.97615025081629e-24	1.01335208686895
MCM5	4174	6.01987728437997e-24	1.56042196882478
